Informe de campaña
8 de mayo de 2026 - 4 de junio de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre de presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,Impr.,Interacciones,Tasa de interacción,Coste medio,Coste,Clics,CTR,CPC medio,Valor de conv.,Tipo de estrategia de puja,Tasa de conv.,Conversiones,Coste/conv.
Habilitada,M! - Search,"60,00", --,Diario,EUR,Apto (limitado),elemento limitado por el presupuesto,"96,47",Buscar,11.700,876,"7,49%","1,89","1659,34",876,"7,49%","1,89","841,54",Maximizar conversiones,"5,25%","46,00","36,07"
En pausa,Campaign #1,"21,62", --,Diario,EUR,En pausa,campaña en pausa, --,Rendimiento máximo,0,0, --,0,"0,00",0, --,0,"0,00",Maximizar conversiones,"0,00%","0,00","0,00"
En pausa,Search - Calderas/Calefacción,"50,00", --,Diario,EUR,En pausa,campaña en pausa; Todos los grupos de anuncios están en pausa; Todos los anuncios en pausa, --,Buscar,0,0, --,0,"0,00",0, --,0,"0,00",Maximizar conversiones,"0,00%","0,00","0,00"
Total: Campañas, --, --, --, --,EUR, --,, --, --,11.700,876,"7,49%","1,89","1659,34",876,"7,49%","1,89","841,54", --,"5,25%","46,00","36,07"
Total: Cuenta,,,,,EUR,,,,,11.700,876,"7,49%","1,89","1659,34",876,"7,49%","1,89","841,54",,"5,25%","46,00","36,07"
Total: Buscar,,,,,EUR,,,,Buscar,11.700,876,"7,49%","1,89","1659,34",876,"7,49%","1,89","841,54",,"5,25%","46,00","36,07"
Total: Rendimiento máximo,,,,,EUR,,,,Rendimiento máximo,0,0, --,0,"0,00",0, --,0,"0,00",,"0,00%","0,00","0,00"
